,lga,Adelie Land (France),Afghanistan,Albania,Algeria,"Americas, nfd",Andorra,Angola,Anguilla,"Antarctica, nfd",Antigua and Barbuda,Argentina,Argentinian Antarctic Territory,Armenia,Aruba,At sea,Australia,"Australia (includes External Territories), nfd",Australian Antarctic Territory,"Australian External Territories, nec",Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bosnia and Herzegovina,Botswana,Brazil,British Antarctic Territory,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,"Caribbean, nfd",Cayman Islands,Central African Republic,"Central America, nfd","Central Asia, nfd","Central and West Africa, nfd",Chad,Chile,Chilean Antarctic Territory,"Chinese Asia (includes Mongolia), nfd",Colombia,Comoros,"Congo, Democratic Republic of",Cook Islands,Costa Rica,Croatia,Cuba,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,"Eastern Europe, nfd",Ecuador,Egypt,El Salvador,England,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Falkland Islands,Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Gaza Strip and West Bank,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hong Kong (SAR of China),Hungary,Iceland,Inadequately described,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,"Japan and the Koreas, nfd",Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Democratic People's Republic of (North)","Korea, Republic of (South)",Kuwait,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macau (SAR of China),Madagascar,"Mainland South-East Asia, nfd",Malawi,Malaysia,Maldives,Mali,Malta,"Maritime South-East Asia, nfd",Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,"Melanesia, nfd",Mexico,"Micronesia, Federated States of","Micronesia, nfd","Middle East, nfd",Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norfolk Island,"North Africa and the Middle East, nfd","North Africa, nfd","North-East Asia, nfd","North-West Europe, nfd","Northern America, nfd","Northern Europe, nfd",Northern Ireland,Northern Mariana Islands,Norway,Not stated,"Oceania and Antarctica, nfd",Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,"Polynesia (excludes Hawaii), nec","Polynesia (excludes Hawaii), nfd",Portugal,Puerto Rico,Qatar,Queen Maud Land (Norway),Romania,Ross Dependency (New Zealand),Russian Federation,Rwanda,Samoa,"Samoa, American",San Marino,Saudi Arabia,Scotland,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,"South America, nec","South America, nfd","South Eastern Europe, nfd","South-East Asia, nfd","Southern Asia, nfd","Southern Europe, nfd","Southern and Central Asia, nfd","Southern and East Africa, nec","Southern and East Africa, nfd","Southern and Eastern Europe, nfd",Spain,Sri Lanka,St Helena,St Kitts and Nevis,St Lucia,St Pierre and Miquelon,St Vincent and the Grenadines,"Sub-Saharan Africa, nfd",Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United States of America,Uruguay,Uzbekistan,Vanuatu,"Virgin Islands, British","Virgin Islands, United States",Wales,Wallis and Futuna,"Western Europe, nfd",Western Sahara,Yemen,Zambia,Zimbabwe
1322,Frankston (C),0.0,187.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,4.0,84691.0,0.0,0.0,0.0,144.0,0.0,0.0,6.0,9.0,0.0,5.0,25.0,0.0,0.0,0.0,0.0,238.0,3.0,20.0,0.0,0.0,19.0,0.0,0.0,54.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,0.0,0.0,15.0,0.0,6.0,57.0,0.0,276.0,0.0,81.0,67.0,49.0,0.0,0.0,0.0,46.0,0.0,161.0,21.0,8094.0,0.0,4.0,11.0,9.0,0.0,203.0,24.0,85.0,0.0,3.0,0.0,0.0,9.0,12.0,803.0,7.0,7.0,402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,73.0,143.0,3.0,51.0,652.0,106.0,43.0,23.0,448.0,3.0,16.0,608.0,3.0,48.0,0.0,3.0,9.0,38.0,3.0,0.0,41.0,4.0,7.0,42.0,140.0,0.0,0.0,3.0,0.0,26.0,3.0,7.0,0.0,0.0,0.0,209.0,9.0,0.0,127.0,0.0,0.0,0.0,0.0,224.0,0.0,0.0,6.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,4.0,3.0,0.0,8.0,4.0,838.0,6.0,2478.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.0,0.0,17.0,8555.0,0,3.0,55.0,0.0,0.0,76.0,0.0,41.0,568.0,305.0,0.0,0.0,32.0,0.0,0.0,0.0,104.0,0.0,117.0,0.0,74.0,3.0,0.0,23.0,1578.0,0.0,94.0,32.0,0.0,93.0,26.0,38.0,4.0,0.0,527.0,0.0,0.0,195.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,42.0,467.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,30.0,47.0,17.0,16.0,0.0,3.0,88.0,0.0,0.0,11.0,5.0,5.0,59.0,0.0,0.0,0.0,0.0,85.0,9.0,273.0,61.0,0.0,3.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,7.0,97.0
1323,Gannawarra (S),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,10132.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,21.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,628.0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
1324,Glen Eira (C),0.0,6.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,0.0,11.0,0.0,5.0,75192.0,0.0,0.0,0.0,259.0,16.0,0.0,7.0,80.0,0.0,251.0,78.0,0.0,0.0,0.0,0.0,70.0,4.0,68.0,0.0,17.0,26.0,0.0,0.0,52.0,0.0,235.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,118.0,0.0,0.0,41.0,0.0,0.0,9.0,0.0,185.0,0.0,243.0,98.0,29.0,0.0,0.0,0.0,225.0,8.0,345.0,12.0,3519.0,0.0,3.0,11.0,24.0,0.0,102.0,14.0,309.0,0.0,0.0,0.0,0.0,35.0,30.0,940.0,19.0,3.0,2383.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,497.0,603.0,3.0,764.0,2725.0,561.0,39.0,21.0,332.0,0.0,1623.0,1237.0,8.0,426.0,0.0,3.0,53.0,67.0,8.0,0.0,432.0,11.0,12.0,118.0,196.0,4.0,0.0,9.0,0.0,120.0,0.0,22.0,0.0,0.0,7.0,737.0,5.0,0.0,101.0,0.0,3.0,0.0,0.0,173.0,0.0,0.0,11.0,0.0,0.0,0.0,176.0,4.0,3.0,15.0,0.0,52.0,0.0,5.0,5.0,31.0,227.0,3.0,1644.0,0.0,0.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,18.0,9359.0,0,12.0,85.0,0.0,0.0,50.0,0.0,26.0,379.0,2174.0,0.0,0.0,41.0,0.0,3.0,0.0,273.0,0.0,1680.0,0.0,5.0,0.0,0.0,3.0,637.0,0.0,166.0,34.0,3.0,270.0,61.0,25.0,4.0,15.0,2554.0,4.0,0.0,199.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,58.0,949.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,3.0,68.0,72.0,14.0,125.0,3.0,13.0,210.0,0.0,0.0,7.0,5.0,9.0,108.0,0.0,0.0,0.0,15.0,1487.0,15.0,640.0,21.0,100.0,3.0,0.0,0.0,73.0,0.0,0.0,0.0,3.0,21.0,108.0
1325,Glenelg (S),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,17237.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,457.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,17.0,3.0,0.0,0.0,18.0,0.0,0.0,20.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,1133.0,0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,50.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,29.0
1326,Golden Plains (S),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13976.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,10.0,7.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,698.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,0.0,3.0,4.0,6.0,3.0,0.0,40.0,0.0,0.0,54.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,801.0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,6.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,11.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,3.0
1327,Greater Bendigo (C),0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,82846.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,46.0,0.0,15.0,8.0,5.0,0.0,0.0,0.0,4.0,0.0,23.0,0.0,1784.0,0.0,0.0,4.0,0.0,0.0,24.0,5.0,21.0,0.0,0.0,0.0,0.0,3.0,0.0,240.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,31.0,0.0,6.0,120.0,70.0,3.0,15.0,100.0,3.0,3.0,150.0,0.0,25.0,0.0,3.0,0.0,11.0,0.0,0.0,18.0,0.0,3.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,3.0,278.0,0.0,567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,7.0,4827.0,0,0.0,9.0,0.0,0.0,43.0,0.0,0.0,176.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,13.0,0.0,3.0,0.0,0.0,0.0,310.0,0.0,8.0,12.0,3.0,41.0,3.0,17.0,4.0,0.0,116.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,18.0,21.0,0.0,9.0,0.0,0.0,38.0,0.0,0.0,4.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,3.0,116.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,6.0,27.0
1328,Greater Dandenong (C),0.0,1680.0,129.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,241.0,0.0,21.0,0.0,3.0,50703.0,0.0,0.0,0.0,129.0,0.0,0.0,10.0,191.0,0.0,12.0,23.0,0.0,0.0,0.0,0.0,2047.0,6.0,9.0,0.0,4.0,57.0,0.0,36.0,4680.0,0.0,81.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,732.0,0.0,0.0,46.0,0.0,3.0,440.0,7.0,1274.0,10.0,244.0,56.0,33.0,3.0,0.0,4.0,51.0,0.0,515.0,285.0,2443.0,0.0,93.0,6.0,298.0,0.0,558.0,30.0,110.0,0.0,0.0,0.0,3.0,46.0,3.0,721.0,23.0,0.0,1966.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,3.0,0.0,0.0,11.0,307.0,299.0,5.0,137.0,3822.0,334.0,144.0,238.0,213.0,0.0,44.0,2347.0,0.0,60.0,0.0,21.0,8.0,124.0,0.0,0.0,62.0,31.0,168.0,43.0,659.0,0.0,42.0,13.0,0.0,17.0,0.0,16.0,0.0,0.0,11.0,603.0,0.0,0.0,397.0,0.0,0.0,0.0,0.0,1455.0,0.0,0.0,4.0,0.0,0.0,0.0,14.0,0.0,3.0,26.0,0.0,20.0,5.0,3.0,6.0,37.0,588.0,0.0,2066.0,3.0,0.0,19.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,0.0,10.0,10232.0,0,11.0,398.0,0.0,0.0,27.0,0.0,48.0,1150.0,1039.0,0.0,0.0,160.0,0.0,5.0,0.0,525.0,0.0,212.0,0.0,342.0,0.0,0.0,40.0,658.0,0.0,848.0,124.0,15.0,194.0,23.0,87.0,3.0,117.0,429.0,4.0,0.0,1018.0,15.0,6.0,0.0,0.0,0.0,8.0,0.0,76.0,3830.0,0.0,0.0,0.0,0.0,0.0,0.0,1656.0,0.0,0.0,14.0,31.0,58.0,70.0,0.0,18.0,638.0,0.0,0.0,23.0,12.0,6.0,917.0,0.0,0.0,0.0,14.0,181.0,69.0,118.0,117.0,3.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,4.0,8.0,29.0
1329,Greater Geelong (C),0.0,7.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,155846.0,0.0,0.0,0.0,258.0,0.0,3.0,4.0,46.0,3.0,6.0,35.0,0.0,0.0,4.0,0.0,472.0,6.0,17.0,0.0,10.0,48.0,0.0,0.0,53.0,0.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,10.0,0.0,0.0,3.0,0.0,1644.0,0.0,64.0,45.0,51.0,0.0,0.0,0.0,29.0,0.0,103.0,4.0,7749.0,0.0,0.0,18.0,9.0,0.0,70.0,65.0,122.0,0.0,0.0,0.0,0.0,8.0,0.0,1552.0,5.0,6.0,518.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,142.0,229.0,7.0,61.0,424.0,148.0,122.0,21.0,401.0,7.0,8.0,1990.0,3.0,105.0,0.0,0.0,0.0,38.0,3.0,0.0,72.0,3.0,51.0,59.0,98.0,0.0,16.0,6.0,0.0,84.0,0.0,10.0,0.0,0.0,3.0,355.0,3.0,0.0,300.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,12.0,0.0,0.0,7.0,6.0,1687.0,0.0,1645.0,3.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,451.0,0.0,30.0,10427.0,0,0.0,50.0,0.0,0.0,89.0,0.0,8.0,668.0,640.0,0.0,0.0,107.0,0.0,0.0,0.0,48.0,0.0,63.0,0.0,15.0,0.0,0.0,4.0,1652.0,0.0,345.0,0.0,5.0,257.0,13.0,191.0,9.0,4.0,434.0,5.0,0.0,760.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,258.0,181.0,0.0,0.0,0.0,0.0,0.0,3.0,101.0,0.0,0.0,54.0,53.0,8.0,33.0,0.0,8.0,186.0,0.0,0.0,13.0,14.0,3.0,146.0,0.0,0.0,0.0,0.0,221.0,11.0,385.0,10.0,0.0,10.0,0.0,0.0,275.0,0.0,0.0,0.0,4.0,17.0,136.0
1330,Greater Shepparton (C),0.0,122.0,365.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,47345.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,19.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,8.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,18.0,0.0,0.0,47.0,0.0,9.0,3.0,5.0,0.0,0.0,0.0,3.0,0.0,13.0,3.0,799.0,0.0,0.0,0.0,5.0,0.0,27.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,14.0,0.0,11.0,224.0,8.0,37.0,341.0,64.0,0.0,0.0,1089.0,0.0,11.0,0.0,0.0,0.0,4.0,0.0,0.0,12.0,95.0,0.0,7.0,10.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,232.0,0.0,529.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,3.0,3546.0,0,0.0,11.0,0.0,0.0,19.0,0.0,0.0,166.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,9.0,0.0,47.0,0.0,0.0,24.0,183.0,0.0,9.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,72.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,4.0,0.0,10.0,8.0,20.0,0.0,3.0,36.0,0.0,3.0,8.0,10.0,0.0,347.0,0.0,0.0,0.0,3.0,9.0,3.0,55.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,4.0,10.0
1331,Hepburn (S),0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11125.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,3.0,0.0,15.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,550.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,13.0,0.0,0.0,0.0,0.0,0.0,3.0,109.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,0.0,0.0,14.0,6.0,0.0,3.0,24.0,0.0,0.0,37.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,999.0,0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,14.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,22.0,0.0,0.0,4.0,0.0,8.0,0.0,0.0,21.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
1332,Hindmarsh (S),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5451.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,7.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.0,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0
